Target,1,2,3,4,5, 6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
ETR,AEP,NEE,CNP,DUK,AES,NRG,EXC,WEC,XEL,PEG,LNT,FE,SO,AEE,NI,EVRG,PNW,MPC,ES,PPL
EOG,XOM,ATO,FANG,CTRA,NEM,PXD,MRO,DVN,OXY,NI,SRE,COP,EVRG,WEC,PNW,D,KMI,HES,OKE,FCX
EPAM,ANSS,ACN,FTV,ROP,CDNS,CTXS,KEYS,TRMB,NOW,WAT,J,DOV,ORCL,APTV,ALLE,ANET,DXC,LHX,MSI,TDY
EFX,RHI,GPN,VRSK,TYL,AXP,TEL,IQV,TRV,CDW,HPQ,MSFT,IT,ROK,IEX,PAYX,LDOS,ICE,CBRE,PAYC,DHR
EQIX,DLR,PTC,DXC,CRM,NOW,FFIV,TDY,AKAM,CTXS,PEAK,NTAP,ADBE,SBAC,INVH,ZBRA,REG,CSGP,FTNT,ANSS,CMCSA
EQR,REG,MAA,UDR,ESS,VNO,AVB,SPG,HST,WELL,PEAK,BXP,VICI,DLR,VTR,CPT,IRM,PLD,KIM,FRT,EXR
ESS,MAA,AVB,BXP,PSA,KIM,HST,EXR,EQR,UDR,O,PLD,ARE,PHM,DRE,CPT,ZION,DHI,WELL,IRM,VICI
ETSY,EBAY,EXPE,CSGP,GWW,GOOG,GOOGL,AMZN,BKNG,BBY,CPRT,DXC,TTWO,DAL,MA,PYPL,ZBRA,TGT,FLT,FISV,COST
RE,AJG,L,HIG,BRO,AIG,PFG,WRB,STT,AMP,C,PRU,FISV,BAC,ALL,USB,ICE,NTRS,MS,RJF,BK
EVRG,FE,NRG,PNW,NI,WEC,DUK,D,PPL,NEE,EIX,DTE,ATO,SO,SRE,XOM,ETR,OKE,AEP,XEL,AEE
ES,PEG,NI,PPL,AWK,FE,DTE,WEC,DUK,D,NRG,NEE,SO,CNP,SRE,ETR,CMS,EIX,EXC,AEP,LNT
EXC,AEP,XEL,AES,NEE,CNP,ETR,NRG,BRK-B,LIN,EMR,SO,AEE,GE,WEC,DUK,ES,GWW,MPC,FE,EVRG
EXPE,BKNG,AMZN,EBAY,CSGP,CPRT,KDP,ETSY,GOOG,GOOGL,NWS,NWSA,DAL,FLT,PYPL,DFS,AIZ,CMCSA,FISV,INTU,KR
EXPD,CHRW,DAL,GWW,EMR,LHX,JCI,RE,LUMN,TDG,COST,TEL,IR,TT,TXT,ALLE,NSC,OMC,L,UAL,WRB
EXR,PSA,CMG,IRM,KIM,MAA,AVB,ZION,PLD,YUM,DRI,ESS,ATO,MCD,MOH,HST,DPZ,CZR,DRE,TGT,ARE
XOM,CTRA,EOG,CVX,ATO,HES,OXY,MPC,MRO,COP,OKE,SO,WEC,NI,EVRG,VLO,SRE,DVN,NRG,FANG,WMB
FFIV,CTXS,NOW,AKAM,FTNT,NTAP,ANET,ORCL,LUMN,EPAM,CSCO,ROP,FTV,NLOK,ANSS,DXC,KEYS,ALLE,HPE,MSI,CSGP
FDS,STT,MS,GS,BK,FIS,BAC,C,SCHW,NTRS,PRU,BR,AMP,USB,WFC,JKHY,RJF,HBAN,NLSN,NDAQ,HIG
FAST,GWW,SWK,NUE,DOV,SNA,CTAS,COST,AMCR,LIN,ALLE,AVY,EMR,WRK,GPC,TT,JCI,CAT,NDSN,AZO,AOS
FRT,REG,EQR,VNO,PEAK,INVH,VTR,UDR,DLR,IRM,PLD,KIM,BXP,SPG,ARE,CPT,WELL,SBAC,EQIX,MAA,HST
FDX,ODFL,ROST,TGT,AAL,ZION,CHRW,EXR,LNC,ATO,VZ,DAL,PSA,FITB,WFC,UPS,UAL,CAG,AMP,INTU,MOH
FIS,FISV,C,STT,BR,BAC,MS,NDAQ,CMA,PFG,BK,CFG,SCHW,MA,RJF,NTRS,SBNY,WFC,SIVB,USB,PNC
FITB,PNC,KEY,WFC,HBAN,FRC,JKHY,CFG,BAC,SYF,USB,MTB,C,COF,RF,AMP,JPM,RJF,BK,TFC,LNC
FE,NRG,D,EVRG,NI,WEC,PPL,DUK,PNW,DTE,NEE,EIX,SRE,PEG,AEE,ATO,ES,SO,ETR,ED,AEP
FRC,KEY,WFC,CFG,BAC,FITB,PNC,BK,HBAN,SBNY,SYF,C,USB,JKHY,TFC,COF,CMA,PRU,AMP,RJF,DFS
FISV,FIS,BR,C,STT,PFG,SCHW,CMA,AJG,MA,BAC,GPN,MKTX,MS,NTRS,RE,AMP,CFG,ICE,USB,RJF
FLT,MA,MKTX,CSGP,BR,BKNG,CFG,PAYC,DFS,FISV,FIS,CPRT,SBNY,INTU,EXPE,C,BAC,SYF,PYPL,NDAQ,CMA
FMC,CTVA,ADM,IDXX,BIO,IFF,ILMN,TECH,ZTS,NSC,DE,TMO,ROP,TSCO,CTAS,DOW,ROL,ECL,EMN,GWW,CE
F,PCAR,GM,KMX,LKQ,GPC,TEL,PGR,AXP,COF,TSLA,AMZN,TYL,TRV,EFX,HPQ,VLO,ORLY,ROK,AZO,CDW
FTNT,CSCO,NLOK,AKAM,ANET,JNPR,FFIV,MCHP,LUMN,T,NXPI,WDC,CHTR,QRVO,MSI,HPE,VRSN,SNPS,STX,GRMN,KEYS
FTV,DOV,EPAM,ACN,ANSS,IR,APTV,KEYS,NDSN,EMR,TT,TRMB,DOW,ALLE,TDY,PH,TER,WAT,APD,SNA,ROP
FBHS,SHW,MHK,CHD,CARR,LOW,KMB,IEX,XYL,TEL,CBRE,DHI,HPQ,DHR,EFX,BBWI,COST,CDW,MAS,RHI,APH
FOX,FOXA,DISH,NFLX,NWSA,NWS,CMCSA,CZR,ATVI,PGR,F,VRSK,MGM,TRV,NLSN,AAL,ADBE,UAL,AXP,EA,DIS
FOXA,FOXA,DISH,NFLX,NWSA,NWS,CMCSA,CZR,ATVI,PGR,F,VRSK,MGM,TRV,NLSN,AAL,ADBE,UAL,AXP,EA,DIS
BEN,IVZ,BLK,WRB,KEY,SPGI,PFG,FITB,CINF,HBAN,CBRE,NLSN,LNC,RE,L,CFG,MET,BK,AJG,NVR,PNC
FCX,NEM,HES,CTRA,OKE,PNW,XOM,OXY,BKR,BRK-B,COP,WMB,EOG,EVRG,CAT,VMC,CVX,MPC,MRO,FANG,NRG
GRMN,QRVO,T,GOOGL,GOOG,FTNT,SWKS,MSI,AAPL,ANET,NXPI,MCHP,WDC,TTWO,JNPR,CSCO,LUMN,TMUS,STX,ZBRA,NVDA
IT,EFX,RHI,IQV,CDW,VRSK,ADBE,GPN,MSFT,CPRT,AMZN,HPQ,INTU,J,AXP,CDAY,TEL,BR,TROW,RJF,CRL
GNRC,LIN,EMR,AOS,ENPH,GE,CMI,CF,WDC,NRG,ON,MCHP,SEDG,CAT,WHR,SWK,MAS,JCI,NEE,MTD,TER
GD,BA,RTX,LMT,HWM,NOC,TXT,HON,GE,JCI,TDG,HII,LHX,ETN,BWA,IBM,PH,EXPD,MMM,SLB,WHR
GE,BWA,SLB,JCI,LIN,NRG,NEE,EMR,HWM,BKR,PEG,ETN,IBM,MMM,AEE,CMI,RTX,WEC,CTSH,FE,EXC
GIS,HRL,K,SYY,CPB,LW,SJM,MKC,MDLZ,COST,CAG,KHC,DG,HSY,TGT,PEP,NWL,ITW,AMCR,SEE,WHR
GM,F,GPC,COST,TSLA,CTAS,ORLY,AZO,GWW,BBY,SWK,KMX,FAST,AVY,AAP,PCAR,LIN,AMCR,AIG,WDC,CAT
GPC,AZO,AAP,ORLY,SWK,APTV,GWW,LKQ,GM,SNA,DOV,FAST,CAT,F,URI,EMR,TSLA,AVY,CTAS,PCAR,CHRW
GILD,PFE,BMY,ABBV,WST,INCY,MRNA,LLY,BIIB,MRK,BDX,AMGN,REGN,CAH,ABC,BAX,VTRS,HOLX,TMO,MDT,OGN
GPN,AXP,EFX,ICE,FISV,IQV,VRSK,COF,FIS,C,RHI,TEL,BR,CDW,TYL,MSFT,RF,MA,TRV,HPQ,IT
GL,UNH,MET,LNC,BRO,CINF,CI,HUM,VTRS,MCK,AFL,AMP,MOH,WFC,HBAN,TFC,UHS,CNC,PRU,RE,L
HAL,CVX,HES,IR,SLB,BKR,CAT,MPC,WAT,NDSN,XOM,FTV,PWR,AME,OXY,SO,AOS,PH,ANSS,XEL,WMB
HAS,TTWO,EA,VFC,ATVI,COST,AIZ,LOW,DIS,CPRT,NKE,AVY,MA,SYF,TJX,FISV,KR,ALLE,CMA,HSY,HPQ
HCA,CI,CVS,CAH,CNC,VTRS,BAX,MCK,MRK,UHS,ABC,ZBH,HUM,BDX,DGX,UNH,MDT,TFX,RMD,OGN,ABT
PEAK,VTR,WELL,INVH,UDR,EQR,REG,MAA,PLD,FRT,DLR,ARE,SPG,VNO,CPT,SBAC,TROW,BXP,KIM,IRM,EQIX
HSIC,XRAY,ALGN,STE,ZBH,BDX,CL,BAX,CAH,BMY,MDT,TMO,MRK,JNJ,RMD,WST,PFE,PKI,ABC,CTLT,IDXX
HES,CVX,COP,OXY,MPC,XOM,WMB,CTRA,OKE,BKR,MRO,PSX,HAL,FCX,SLB,SO,XEL,KMI,CAT,CMI,WEC
HPE,PTC,NVDA,STX,WDC,MCHP,ANET,FTNT,GLW,LUMN,WAT,CSGP,CTXS,NLOK,NOW,KEYS,DOV,ORCL,DXC,TDY,INTC
HLT,MAR,CCL,LVS,CMCSA,MGM,CBRE,DIS,WRB,BBWI,RE,AIZ,FISV,VICI,BLK,EXPE,NCLH,DAL,BEN,DHI,IVZ
HOLX,ABT,CTLT,STE,PFE,MCK,OGN,VTRS,CAH,ZBH,GILD,TECH,AMGN,BSX,BMY,REGN,BAX,COO,BDX,TMO,BIO
HON,NOC,TDG,ETN,BA,LMT,GD,TXT,LHX,RTX,HWM,PH,JCI,EPAM,KEYS,TDY,IR,APTV,FTV,DOV,ANSS
HRL,GIS,K,LW,SYY,SJM,SEE,CAG,CPB,TSN,HSY,MCD,YUM,MKC,KHC,TGT,MDLZ,COST,DG,PEP,KR
HST,BXP,VICI,UDR,PLD,KIM,CPT,MAA,IRM,ESS,REG,WY,ARE,VTR,SPG,AMT,AVB,EQR,EXR,VNO,PSA
HWM,GD,RTX,BA,BWA,GE,PH,MMM,JCI,LMT,HON,DOW,LIN,TDG,MCHP,IBM,TEL,TXT,AVY,DOV,EMR
HPQ,CDW,MSFT,TEL,DD,ROK,APH,EFX,ADBE,SHW,DHR,RHI,LDOS,LUMN,VRSK,GPN,GLW,CE,VFC,IQV,FBHS
HUM,CI,OGN,CVS,TRV,PGR,UNH,CNC,HCA,MCK,LDOS,BSX,GL,AXP,VTRS,TFC,COF,ABC,TYL,CAH,KMB
HBAN,JPM,WFC,JKHY,KEY,FITB,AMP,BAC,SIVB,USB,CFG,COF,GS,FRC,TFC,MTB,PNC,LNC,SYF,C,RF
HII,GD,DHR,ROK,MHK,DD,LKQ,APH,FBHS,BSX,TEL,SHW,LHX,IEX,MLM,XYL,PH,JCI,GNRC,HPQ,NOC
IEX,XYL,DHR,TEL,APH,CARR,LDOS,CDW,DD,EFX,RHI,KMB,BSX,IQV,FBHS,SHW,MSFT,GPN,TYL,AXP,HPQ
IDXX,TECH,TMO,BIO,ZTS,MRK,DGX,ILMN,PKI,BAX,CAH,CL,JNJ,ROP,PFE,ZBH,FMC,CTLT,BDX,ROL,ABC
ITW,GIS,NWL,SWK,EMR,SEE,DOV,MTD,AMCR,HRL,TT,WHR,CAT,MAS,JCI,GWW,NSC,MMM,SYY,COST,GPC
ILMN,TMO,TECH,BIO,PKI,IDXX,BAX,DGX,PFE,BDX,CTLT,CAH,HOLX,HPE,MRNA,DHR,MDT,GLW,BMY,BSX,AMGN
INCY,VRTX,BIIB,BMY,ABBV,GILD,MRNA,AMGN,REGN,HOLX,CDNS,PFE,CAH,TECH,WST,LLY,BSX,ALGN,LH,DXCM,CE
IR,NDSN,FTV,EMR,AME,PH,WAT,DOV,TT,KEYS,PWR,LIN,DOW,JCI,APD,HAL,MTD,APTV,ANSS,TDY,MMM
INTC,AMD,WDC,TER,NVDA,JNPR,SWKS,GLW,MCHP,ALLE,STX,ANET,AVGO,LUMN,KLAC,TXN,GWW,ZBRA,TDY,BBY,AME
ICE,AXP,GPN,COF,FISV,RE,C,TRV,AJG,CBOE,CDW,PRU,RJF,MS,BR,BK,CBRE,STT,PFG,EFX,FIS
IBM,CTSH,INTU,DXC,JKHY,J,CTXS,ORCL,MSCI,NOW,AMP,ANET,SIVB,RTX,GS,GE,ADP,MSFT,JCI,ROP,BWA
IFF,EL,CL,MKC,CTLT,PG,CLX,AVY,PFE,MDLZ,AMCR,KHC,CE,WST,TMO,KO,JNJ,COST,BIO,BMY,ECL
IP,WRK,PKG,AMCR,AVY,DOW,ZBRA,HPQ,EMN,CE,DD,GWW,COST,FAST,CAH,ABC,MLM,NSC,SWK,DOV,IR
INTU,IBM,AMP,JKHY,BRO,CSGP,PAYC,CTSH,CDAY,WFC,J,CTXS,BBY,ADP,NWS,NWSA,LNC,RJF,FLT,IT,ANET
ISRG,AMGN,MDT,RMD,BDX,TFX,ABMD,BAX,EW,BMY,ALGN,WST,BIIB,CAH,REGN,GILD,ZBH,PTC,PFE,ABBV,BSX
IVZ,BLK,STT,PFG,NTRS,SCHW,RJF,FISV,C,MS,BR,BAC,AJG,RE,AMP,USB,HIG,GS,MSCI,FIS,BEN
INVH,PEAK,REG,FRT,EQR,UDR,VTR,WELL,EQIX,CPT,HD,DLR,SBAC,LOW,SPG,VNO,PLD,LEN,BXP,PTC,NVR
IQV,VRSK,EFX,DHR,GPN,MSFT,RHI,LDOS,TEL,IT,CDW,BSX,IEX,HPQ,TYL,CTSH,DD,DXC,J,XYL,APH
IRM,KIM,PLD,EXR,UDR,HST,VICI,BXP,ARE,SPG,VNO,CPT,AVB,MAA,WY,PSA,CCI,VTR,DRE,EQR,ESS
JKHY,HBAN,AMP,WFC,FITB,JPM,GS,PNC,SIVB,KEY,LNC,C,FRC,USB,BAC,BRO,COF,IBM,BK,CFG,SYF
J,ADP,EMR,MMC,IBM,DXC,CTSH,PAYX,ACN,EPAM,ANET,MSI,LIN,GWW,RHI,WAT,LUMN,CTXS,AON,DOW,OMC
JBHT,ODFL,WEC,KMI,MTD,WM,FE,NSC,D,DE,PSA,CMI,NI,LNC,CMS,CINF,CHRW,LYB,PEG,AAL,DUK
JNJ,BAX,PFE,CAH,BDX,MRK,CL,ZBH,ALGN,ABT,BMY,RMD,VTRS,OGN,TMO,MDT,CTLT,PG,HOLX,REGN,CLX
JCI,MMM,GE,LIN,EMR,ETN,SLB,GWW,MTD,TT,IR,IBM,BWA,HWM,WHR,SWK,CTSH,TEL,DOW,ALLE,RTX
JPM,HBAN,SIVB,AMP,WFC,JKHY,GS,BAC,BRO,LNC,C,FITB,NTRS,COF,RF,USB,MSCI,CFG,TFC,PNC,MTB
JNPR,CSCO,LUMN,ANET,FTNT,T,INTC,SWKS,WDC,ALLE,QRVO,APH,STX,AVGO,MCHP,TXN,NXPI,TER,GLW,ZBRA,VZ
K,GIS,HRL,HSY,MDLZ,LW,SJM,CAG,YUM,PEP,CPB,SYY,KHC,MCD,COST,DG,WHR,MKC,TGT,SEE,CHD
KDP,STZ,MNST,CPB,AMZN,KO,KR,EXPE,COST,TAP,SJM,KHC,AMCR,BBWI,BF-B,ABC,WBA,EMN,CAG,HSY,PEP
KEY,FITB,CFG,USB,FRC,PNC,HBAN,BAC,SYF,WFC,C,MTB,COF,CMA,JKHY,BK,AMP,STT,MS,TFC,WRB
KEYS,ADI,FTV,SNPS,TER,EPAM,SWKS,ANSS,CDNS,TDY,MCHP,IR,MSI,DOW,DOV,PH,GLW,AVGO,QRVO,EMR,NXPI
KMB,CHD,SHW,OGN,VFC,IEX,DHR,FBHS,BSX,PG,CL,HPQ,XYL,TPR,BBWI,JNJ,CLX,APH,HUM,ABT,TEL
KIM,PLD,BXP,SPG,ARE,IRM,DRE,HST,MAA,VNO,UDR,AVB,EXR,ESS,PSA,AMT,VICI,CPT,WY,REG,CZR
KMI,AEE,PSX,WEC,BKR,WMB,OKE,SLB,COP,NI,MRO,CMS,PEG,DUK,CNP,DVN,D,NRG,MPC,CTRA,ATO
KLAC,TER,AVGO,LRCX,CDNS,AMAT,MPWR,SNPS,SWKS,ADI,ANSS,AMD,MCHP,NXPI,TXN,DD,KEYS,INTC,GLW,DOV,EPAM
LHX,NOC,EPAM,HON,RTX,TDG,EXPD,ROP,ANSS,ACN,PH,GD,LDOS,APTV,FTV,KEYS,TRMB,TXT,J,CTXS,TDY
LH,DGX,TECH,GILD,MRK,CAH,BIO,HOLX,ABT,WAT,LLY,TMO,PFE,VTRS,INCY,ZBRA,IDXX,WST,MCK,CTLT,J
LW,HRL,GIS,SYY,K,KHC,CAG,HSY,SJM,CPB,MKC,MDLZ,PEP,ADM,TSN,DG,MCD,TGT,YUM,COST,CE
LRCX,KLAC,TER,SNPS,AVGO,ADI,MPWR,CDNS,AMAT,TXN,KEYS,DD,NXPI,AMD,SWKS,ANSS,MCHP,ZBRA,PH,TDY,GLW
LVS,MGM,HLT,VICI,CZR,DIS,MAR,CMCSA,CCL,WYNN,REG,EQR,STX,ULTA,HST,BEN,TTWO,AVB,BBWI,BK,COST
LDOS,TEL,IQV,DHR,CDW,IEX,APH,HPQ,EFX,MSFT,VRSK,TRV,AXP,GPN,RHI,DD,HUM,ICE,OMC,LHX,LUMN
LEN,DHI,NVR,HD,PHM,LOW,URI,FBHS,CINF,WHR,WRB,L,CBRE,AIZ,HIG,FITB,RE,NSC,KEY,LNC,ROL
LNC,AMP,BRO,WFC,JKHY,HBAN,PRU,JPM,HIG,PFG,AJG,KEY,FITB,RE,WRB,GS,USB,CINF,NTRS,L,TRV
LIN,EMR,JCI,APD,AOS,GWW,ANET,GE,SWK,AVY,TDY,GNRC,IR,AME,J,DOW,CF,ALLE,TEL,TT,FAST
LYV,EXPE,AMZN,BKNG,CPRT,ADBE,KDP,CMCSA,FLT,NLSN,MGM,EA,CZR,CSGP,IT,KR,HAS,TTWO,MA,MKTX,KMX
LKQ,GPC,TEL,AZO,AAP,ROK,APH,F,SHW,ORLY,DD,PGR,MHK,DHR,APTV,DOV,PCAR,GWW,VMC,FBHS,EFX
LMT,RTX,NOC,GD,BA,HON,HWM,JCI,MMM,ETN,TDG,LHX,GE,BWA,IBM,PH,IR,TXT,ROK,DOW,SLB
L,WRB,HIG,AIG,RE,AJG,ALL,BRO,PFG,PRU,TRV,CINF,CI,STT,USB,AIZ,BAC,AON,CME,PGR,MET
LOW,HD,LEN,DHI,NVR,COST,FBHS,URI,AIZ,KR,GWW,ALLE,MAS,ORLY,NWL,SWK,WHR,PHM,L,CL,AVY
LUMN,ANET,CSCO,T,JNPR,GLW,CTXS,MSI,ORCL,SWKS,QRVO,APH,EMR,ALLE,STX,CDW,NOW,FTNT,AIZ,ROP,DXC
LYB,EMN,MTD,LIN,MPC,CMI,OXY,CF,JCI,WEC,HES,SPGI,AME,CAT,NWL,DOW,FE,WAT,NRG,TSLA,XOM
MTB,CFG,CMA,USB,BAC,KEY,FITB,HBAN,RF,C,SBNY,PNC,STT,WFC,SCHW,FIS,FRC,SYF,MS,JPM,SIVB
MRO,CTRA,PXD,FANG,DVN,XOM,OKE,OXY,HES,ATO,WMB,MPC,EOG,KMI,COP,NI,SRE,WEC,CVX,SO,PSX
MPC,WMB,HES,CVX,VLO,OKE,OXY,XOM,CF,COP,WEC,MRO,CNP,CTRA,SO,NRG,CMI,ETR,AOS,NI,PSX
MKTX,BR,FISV,FIS,MS,STT,FLT,MA,NDAQ,BAC,C,CME,CFG,CSGP,SBNY,RJF,AJG,CMA,SCHW,MSCI,BK
MAR,HLT,CCL,CMCSA,RE,ICE,ALL,COST,LVS,UHS,EXPE,BBWI,AAL,PRU,NCLH,RJF,FISV,C,STZ,NWSA,NWS
MMC,AON,J,SCHW,PFG,ADP,PAYX,NTRS,L,ACN,OMC,CME,BR,HIG,STT,AJG,WRB,FISV,MSCI,AMP,FIS
MLM,CAT,VMC,PPG,NUE,SNA,WRK,SWK,CE,FAST,PH,GWW,LIN,EMN,ORLY,RSG,DOV,AAP,NSC,APTV,EMR
MAS,AOS,TT,POOL,EMR,PNR,LOW,LIN,ALLE,ECL,NWL,FAST,FBHS,WHR,CL,DOV,AVY,SWK,GWW,GNRC,COST
MA,FISV,FIS,BR,SBNY,BK,CMA,SYF,FLT,C,BAC,DFS,MKTX,STT,CFG,CSGP,USB,GPN,AIZ,LUMN,PFG
MTCH,MGM,NLSN,STZ,JKHY,BRO,WFC,PRU,ZION,BBWI,MAR,PEP,CCL,BF-B,FRC,ULTA,JPM,LUV,AMP,CMCSA,TTWO
MKC,CPB,GIS,IFF,HRL,MDLZ,SJM,HSY,SYY,SEE,KHC,LW,CL,AMCR,K,COST,DG,CAG,NWL,KDP,CHD
MCD,YUM,DPZ,DRI,HRL,K,CPB,TGT,CMG,SJM,GIS,HSY,EXR,LW,PEP,TSN,CAG,SEE,MDLZ,SYY,ZION
MCK,VTRS,ABT,CTLT,CAH,UNH,STE,ABC,BRO,MRK,HOLX,BAX,HCA,CLX,ZBH,CVS,TMO,CI,BDX,UHS,OGN
MDT,BDX,BAX,TFX,EW,REGN,PFE,ZBH,ISRG,BMY,CAH,WST,ABMD,RMD,BSX,GILD,ABC,TMO,ALGN,JNJ,ABT
MRK,CAH,PFE,VTRS,BAX,ABC,GILD,MCK,JNJ,TMO,IDXX,ZBH,ABT,HCA,WST,OGN,BDX,BMY,ZTS,CTLT,CVS
MET,CINF,BRO,PRU,L,RE,PFG,CI,LNC,AJG,WFC,CBOE,AMP,GL,HIG,BAC,SPGI,FRC,AIZ,WRB,UNH
MTD,WAT,JCI,CMI,LYB,NWL,DOV,AME,IR,TECH,LIN,EMR,DOW,FTV,BIO,EPAM,TER,J,SWK,MET,TMO
MGM,CZR,LVS,NFLX,VICI,WYNN,LUV,TTWO,DIS,FBHS,NCLH,DISH,MNST,AVB,CMG,VZ,BBWI,ATVI,HLT,EA,ZION
MCHP,SNPS,WDC,NVDA,ANET,ADI,KEYS,CSCO,HPE,AMD,TER,FTNT,INTC,KLAC,NXPI,TDY,SWKS,ANSS,CDNS,GLW,AVGO
MU,NXPI,AVGO,AMD,WDC,MCHP,STX,INTC,ZBRA,TER,MMM,SWKS,AME,JNPR,INTU,NVDA,IBM,DD,GLW,KLAC,MPWR
MSFT,CDW,HPQ,TEL,ADBE,IQV,NOW,EFX,GPN,DHR,DD,CTXS,RHI,ANET,IBM,VRSK,LDOS,APH,ROK,ORCL,LUMN
MAA,ESS,AVB,UDR,KIM,ARE,CPT,BXP,PLD,PSA,HST,EQR,EXR,O,ZION,PHM,VNO,WELL,IRM,SPG,CZR
MRNA,GILD,PFE,INCY,BMY,ZTS,HOLX,TMO,TECH,VRTX,MRK,ABBV,AMGN,BIIB,CAH,ILMN,REGN,WST,LLY,BIO,LH
MHK,FBHS,SHW,DD,CHD,ROK,CARR,DHR,TEL,APH,XYL,IEX,HPQ,LKQ,BSX,MAS,KMB,VFC,ADM,CE,HII
MOH,GL,EXR,AWK,UNH,WBA,UHS,PSA,HUM,AVB,MAA,ZION,PPL,SRE,ROST,CNC,BBWI,VTRS,ATO,MET,ED
TAP,STZ,KDP,BF-B,MNST,PEP,KO,BBWI,CPB,CE,KHC,VLO,SJM,MO,YUM,HSY,MPC,AMCR,WBA,CAG,LW
MDLZ,HSY,K,SJM,GIS,MKC,DG,KHC,HRL,PEP,IFF,COST,KO,LW,SYY,CL,CPB,CHD,AMCR,CAG,CE
MPWR,ADI,AVGO,TXN,SNPS,LRCX,KLAC,TER,NXPI,SWKS,ENPH,MCHP,AME,GLW,AMD,ON,ZBRA,KEYS,QRVO,CDNS,SEDG
MNST,KO,SJM,KDP,STZ,BF-B,HSY,CE,VLO,PEP,ALB,HPQ,TAP,CDW,CPB,ADBE,KHC,APH,CHD,IEX,COST
MCO,NWS,NWSA,BR,FISV,C,ICE,PRU,FIS,BK,MS,STT,RE,MSCI,BAC,CFG,MKTX,GS,NLSN,J,RJF
MS,GS,C,BAC,STT,RJF,BK,USB,SCHW,FIS,NTRS,WFC,CMA,SIVB,AMP,BR,HIG,PFG,NDAQ,AJG,SBNY
MSI,QRVO,LUMN,ANET,J,KEYS,DXC,EPAM,FTNT,MCHP,CSCO,ZBRA,CTXS,GWW,ROP,WDC,TER,CDW,CDNS,EMR,AME
MSCI,AMP,GS,SIVB,PFG,STT,NTRS,FISV,BRO,SCHW,PRU,MS,BR,RJF,FIS,IBM,SPGI,JPM,WFC,C,AJG
NDAQ,FIS,C,MS,STT,BR,FISV,BK,MKTX,USB,MA,CFG,BAC,KEY,CME,CMA,PNC,CSGP,SCHW,CTXS,MTB
NTAP,NOW,FFIV,CTXS,LUMN,ANET,ORCL,AKAM,ADP,IBM,MSFT,ROP,DXC,STX,CSGP,HPE,FTNT,ZBRA,FIS,INTU,CSCO
NFLX,DISH,CZR,PYPL,MGM,VZ,TTWO,EA,CHTR,LUV,TMUS,CMCSA,ATVI,DIS,AMZN,FOXA,FOX,EXPE,CPRT,MNST,NWS
NWL,PG,WHR,MTD,GIS,CL,COST,LOW,ITW,MAS,CLX,CMI,LYB,BBWI,AOS,EMR,EMN,CINF,ECL,FBHS,TT
NEM,EOG,FCX,XOM,FANG,CTRA,PXD,ATO,PNW,MRO,EVRG,VMC,ZION,DVN,EXR,IRM,WEC,COP,AVB,OXY,UNP
NWS,NWSA,SPGI,FISV,C,WFC,FIS,NLSN,CSGP,BAC,PRU,MCO,FRC,AIZ,BR,CFG,PNC,HIG,STT,COST,INTU
NWSA,NWSA,SPGI,FISV,C,WFC,FIS,NLSN,CSGP,BAC,PRU,MCO,FRC,AIZ,BR,CFG,PNC,HIG,STT,COST,INTU
NEE,PEG,AEP,WEC,NRG,FE,ETR,DUK,EVRG,SO,EXC,PNW,AES,XEL,D,GE,NI,AEE,ES,CNP,SLB
NLSN,IPG,OMC,NWSA,NWS,CMCSA,BR,FISV,RE,LUMN,VRSK,DXC,ADBE,FDS,BLK,WRB,STT,AIZ,DGX,ZBRA,MCO
NKE,RL,VFC,ALLE,GWW,FAST,SNA,TPR,AVY,GRMN,COST,EL,DOV,CTAS,AMCR,HAS,GOOGL,GOOG,ZBRA,INTC,ULTA
NI,PPL,FE,SRE,ATO,D,WEC,NRG,EVRG,DTE,DUK,PNW,EIX,ES,SO,CMS,AEE,CNP,PEG,NEE,XOM
NDSN,IR,TT,DOV,WAT,PH,AME,FTV,APTV,APD,GWW,PPG,EMR,DOW,ANSS,WRK,EPAM,AMCR,TER,FAST,TXN
NSC,CSX,UNP,ADM,BRK-B,CHRW,DE,MPC,CAT,GWW,RSG,FAST,VLO,CF,WAB,WRK,COST,SWK,OKE,EXPD,EMR
NTRS,SCHW,RJF,PFG,C,MS,GS,BAC,STT,SIVB,AMP,WFC,FIS,USB,FISV,MSCI,BR,CMA,RF,HIG,JPM
NOC,HON,LMT,TDG,BA,GD,LHX,TXT,RTX,ETN,HWM,PH,ROK,EPAM,JCI,TEL,ANSS,APTV,ADSK,EXPD,ROP
NLOK,FTNT,AKAM,ANET,CSCO,CHTR,HPE,FFIV,WDC,MCHP,CTXS,LUMN,VRSN,CRM,VZ,INTU,NTAP,PTC,CSGP,STX,NOW
NCLH,CCL,RCL,LUV,AAL,BBWI,MGM,MAR,AVB,UAL,ALK,EXPD,UHS,DRI,PSA,DIS,GD,STZ,NFLX,CMCSA,HLT
NRG,FE,WEC,EVRG,NI,DUK,D,PNW,NEE,PPL,AEP,AEE,SO,DTE,EIX,SRE,ETR,SLB,XEL,GE,PEG
NUE,FAST,MLM,SWK,VMC,PH,GWW,IR,WRK,CAT,SNA,NDSN,TER,JCI,PPG,APTV,LIN,LRCX,EXC,CSX,DOV
