Target,1,2,3,4,5, 6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
ADI,MPWR,SNPS,LRCX,KEYS,TXN,TER,AVGO,TDY,MCHP,ANSS,KLAC,SWKS,ON,PH,FTV,AME,CDNS,NXPI,APTV,DOV
ANSS,EPAM,TRMB,FTV,TER,KEYS,APTV,ROP,ADI,CDNS,KLAC,SNPS,ADSK,TDY,ACN,MCHP,PWR,PH,WAT,NOW,ZBRA
AON,MMC,PFG,OMC,L,CME,STT,BR,ACN,RE,PAYX,J,HIG,SCHW,PKI,AIZ,NTRS,DGX,PRU,MSCI,CI
AOS,LIN,MAS,EMR,PNR,ECL,TT,GNRC,MPC,CF,POOL,COST,CMI,GWW,CARR,SO,ES,FAST,AWK,JCI,WAT
AAPL,GOOG,GOOGL,WDC,GRMN,BBY,TMUS,CE,STX,NXPI,NVDA,QRVO,MCHP,VZ,SWKS,INTC,HPQ,AVY,MSI,TTWO,ANET
AMAT,DD,KLAC,APH,AVGO,TER,SWKS,LRCX,TEL,DHR,CDW,HPQ,ON,NXPI,GLW,ALB,TXN,ROK,MPWR,ADI,KEYS
APTV,FTV,DOV,PH,ANSS,GPC,EMR,EPAM,GWW,ALLE,NDSN,AZO,ORLY,AME,DOW,TER,IR,TXN,AAP,ADI,JCI
ADM,NSC,SJM,DE,MOS,FMC,TEL,DHR,HSY,COST,APH,HRL,SHW,VFC,IEX,FBHS,GIS,SYY,LW,GWW,CE
ANET,LUMN,CSCO,NOW,CTXS,JNPR,FTNT,ORCL,AKAM,LIN,MCHP,EMR,WDC,T,FFIV,ALLE,MSI,DXC,J,IBM,HPE
AJG,RE,HIG,L,BRO,WRB,FISV,SCHW,AMP,STT,PFG,C,AIG,MS,BAC,CMA,USB,ICE,TRV,RJF,LNC
AIZ,PFG,HIG,L,C,BAC,CSGP,COST,FIS,FRC,BR,RE,AIG,LUMN,MA,WFC,KEY,FISV,WRB,LOW,CMA
T,LUMN,VZ,CHTR,QRVO,ANET,TMUS,JNPR,CSCO,FTNT,GRMN,SWKS,MSI,CMCSA,GLW,APH,VRSN,WDC,NXPI,ALLE,AIZ
ATO,NI,SRE,D,DUK,EOG,XOM,PPL,WEC,FE,EVRG,OKE,MRO,CTRA,NRG,OXY,SO,PNW,ED,DTE,CNP
ADSK,NVDA,ANSS,EPAM,PH,MCHP,CDNS,DOW,TRMB,SNPS,ROP,TER,ZBRA,PTC,HWM,DOV,HON,FTV,TDY,KEYS,PPG
ADP,PAYC,PAYX,NOW,CTXS,J,DXC,MMC,IBM,CSGP,ORCL,WAT,ACN,ANET,EFX,EMR,NTAP,GWW,FIS,INTU,LUMN
AZO,AAP,GPC,ORLY,APTV,LKQ,SWK,GM,DOV,AVY,SNA,CAT,GWW,FAST,TSLA,PH,ALLE,EMR,AMCR,PPG,LIN
AVB,MAA,PSA,ESS,PLD,CPT,AAL,ARE,KIM,PHM,BXP,EXR,OTIS,ZION,DRE,VNO,EQR,IRM,ED,HST,DHI
AVY,AMCR,GLW,ALLE,DOV,DOW,PPG,EMN,LIN,APD,CE,SWK,SNA,EMR,GWW,COST,WDC,PH,RL,IFF,WRK
BKR,SLB,PSX,KMI,HES,COP,OXY,GE,AEE,MMM,WMB,NRG,BWA,CVX,JCI,WEC,OKE,HAL,XOM,EVRG,CTRA
BAC,USB,CMA,WFC,C,CFG,MS,PNC,KEY,STT,SBNY,HIG,BK,FRC,HBAN,FIS,AMP,RJF,FITB,MTB,NTRS
BBWI,WBA,ULTA,COST,PG,CLX,TGT,ABC,ABT,CL,CHD,FBHS,CAH,TJX,KHC,AOS,KDP,KMB,STZ,KR,AMCR
BAX,CAH,MDT,BDX,JNJ,PFE,ZBH,VTRS,TMO,TFX,MRK,ABT,ABC,RMD,REGN,STE,WST,CTLT,BMY,MCK,OGN
BDX,MDT,BAX,PFE,TFX,CAH,TMO,ABC,ZBH,WST,RMD,BMY,JNJ,GILD,CTLT,VTRS,ISRG,BSX,REGN,STE,DGX
BRK-B,XEL,CSX,OKE,EXC,NSC,EVRG,LIN,WEC,AIG,SO,CAT,CB,NEE,UNP,MOS,COP,FCX,PNW,NRG,CNP
BBY,WDC,COST,GWW,GOOG,GOOGL,AMZN,INTC,KHC,GM,TSLA,SWK,INTU,CTAS,EMR,AVY,TGT,AMCR,LIN,MSI,KR
BIIB,INCY,BMY,AMGN,ABBV,REGN,VRTX,GILD,ALGN,RMD,CDNS,BSX,SYK,HOLX,ISRG,ZBH,PFE,CAH,WST,DXCM,BAX
BIO,TMO,TECH,ECL,IDXX,PKI,ILMN,CAH,CTLT,PFE,DHR,GILD,HOLX,BAX,DGX,WAT,BDX,CLX,LH,ABC,MRK
TECH,BIO,TMO,ILMN,WAT,IDXX,DHR,PKI,CTLT,PFE,CAH,DGX,LH,HOLX,ECL,ZBRA,BAX,GILD,A,EPAM,MTD
BLK,IVZ,STT,PFG,NTRS,SCHW,MS,RJF,FISV,C,BR,BAC,RE,AJG,USB,SPGI,AMP,HIG,WRB,GS,BEN
BKNG,EXPE,CPRT,FLT,CSGP,ETSY,AMZN,EBAY,MA,DISH,KDP,VRSN,COST,PYPL,FISV,MKTX,VZ,TTWO,AIZ,DAL,GOOG
BWA,GE,CMI,SLB,HWM,TSLA,IBM,JCI,BKR,VLO,LIN,MMM,EMR,RTX,ETN,WEC,AEE,KMI,BRO,CF,NRG
BXP,HST,KIM,PLD,UDR,AMT,VICI,ESS,ARE,MAA,CPT,WY,AVB,SPG,IRM,REG,DRE,VNO,PHM,EQR,PSA
BSX,DHR,OGN,MDT,CAH,BDX,BAX,HOLX,IQV,TFX,BIIB,AMGN,BMY,IEX,WST,TMO,GILD,DD,RMD,ABT,REGN
BMY,GILD,REGN,PFE,ABBV,AMGN,BIIB,INCY,WST,MDT,BDX,BAX,OGN,EW,MRNA,ALGN,RMD,TFX,TMO,HOLX,JNJ
AVGO,KLAC,TER,AMD,NXPI,LRCX,MPWR,SWKS,TXN,SNPS,ADI,AMAT,QRVO,KEYS,DD,AME,MCHP,CDNS,JNPR,INTC,ZBRA
BR,STT,FISV,FIS,PFG,C,MS,RJF,BAC,MA,MKTX,SCHW,CMA,NTRS,NDAQ,USB,OMC,MSCI,CSGP,CME,GPN
BRO,AMP,LNC,RE,WFC,AJG,HIG,PRU,SIVB,AIG,L,GS,JPM,MCK,JKHY,ALL,MSCI,MET,RJF,C,HBAN
BF-B,STZ,KO,MNST,TAP,AVY,KDP,COST,PEP,AMCR,KHC,GLW,VLO,EMN,IFF,CE,CTAS,BRO,RJF,CTLT,BWA
CDNS,SNPS,EPAM,TER,KLAC,KEYS,LRCX,ANSS,ZBRA,WAT,BIIB,MCHP,AVGO,AMD,ADI,ROP,FTV,INCY,DOV,SWKS,MSI
CZR,MGM,VICI,NFLX,WYNN,ZION,AVB,LUV,LVS,CMG,PSA,EXR,TTWO,AAL,KIM,MAA,FOX,FOXA,EXPE,EA,DISH
CPT,HST,AVB,PLD,MAA,UDR,WY,VNO,BXP,KIM,VICI,ARE,IRM,SPG,EQR,ESS,VTR,PHM,AMT,O,RCL
CPB,GIS,HRL,MKC,KHC,SJM,SYY,K,PEP,KDP,COST,DG,HSY,CAG,LW,TGT,YUM,MCD,MDLZ,KR,SEE
COF,RF,TFC,SYF,HBAN,AXP,USB,KEY,BAC,CFG,C,WFC,ICE,BK,FRC,AMP,FITB,TRV,CMA,GS,MS
CAH,BAX,VTRS,ABC,MRK,BDX,ZBH,RMD,MCK,PFE,ABT,TMO,DGX,MDT,JNJ,HCA,BIO,CTLT,GILD,STE,WST
KMX,F,AMZN,GM,KR,TGT,ORLY,COST,EXPE,TMUS,TSLA,CPRT,CB,VZ,JKHY,PNC,FITB,ZION,FRC,SYF,NWSA
CCL,NCLH,RCL,MAR,HLT,BBWI,LUV,COST,STZ,MGM,AAL,VICI,BKNG,EXPE,NWS,NWSA,EXPD,DIS,PRU,NFLX,LVS
CARR,IEX,XYL,TEL,FBHS,SHW,DHR,MHK,AOS,ROK,DD,APH,EFX,LDOS,HPQ,LIN,KMB,TT,VFC,IQV,CHD
CTLT,MCK,ABT,CLX,TMO,VTRS,HOLX,PFE,STE,BAX,BDX,TECH,BIO,AMCR,CAH,ABC,IFF,WST,BRO,ZBH,JNJ
CAT,MLM,VMC,SWK,AAP,LIN,DOV,NSC,AZO,GPC,FAST,CF,PH,CMI,GWW,BRK-B,MPC,HES,SNA,ORLY,JCI
CBOE,ICE,SPGI,MET,C,AMP,AJG,MS,RE,MSCI,FISV,BK,BRO,JPM,GS,WFC,PRU,FIS,PFG,SIVB,LNC
CBRE,RF,TRV,AXP,COF,ICE,TROW,EFX,TFC,STT,RHI,GPN,FBHS,WRB,TYL,PGR,DHI,BLK,PFG,AIZ,NTRS
CDW,MSFT,HPQ,TEL,APH,DD,DHR,EFX,LDOS,ICE,RHI,VRSK,GPN,ROK,IEX,LUMN,IQV,ANET,IT,ADBE,COF
CE,ALB,AVY,APH,DD,AMCR,SJM,GLW,VLO,LIN,CTLT,MNST,HPQ,DHR,IFF,DOW,EMN,MCHP,TEL,CHD,WDC
CNC,CVS,CI,UNH,HCA,HUM,VTRS,MCK,MET,CAH,GL,MRK,BAX,OGN,L,UHS,CINF,DGX,ZBH,LNC,BRO
CNP,LNT,AEP,AEE,XEL,DUK,ETR,SO,WEC,EXC,OKE,SRE,NI,MPC,NRG,AES,KMI,ES,NEE,D,ATO
CDAY,INTU,CDW,MSFT,PAYC,ANET,IT,NOW,CTXS,ATVI,BBY,ROP,MSI,LUMN,ROK,J,IBM,HPQ,VRSN,GWW,LIN
CF,MPC,CMI,LIN,VLO,WEC,AOS,NRG,SO,LYB,AME,GNRC,CAT,EMR,APD,NSC,TSLA,XOM,GE,BWA,ETR
CRL,IT,BSX,VRSK,DHR,RHI,EFX,IQV,DD,TEL,IEX,LH,CDW,AMGN,FBHS,ROK,SHW,GILD,APH,TECH,BIO
CHTR,T,VZ,DISH,FTNT,NLOK,AKAM,LUMN,ANET,NFLX,CSCO,TMUS,CMCSA,JNPR,WDC,TTWO,VRSN,QRVO,GRMN,SBAC,CPRT
CVX,HES,OXY,MPC,XOM,WMB,HAL,COP,OKE,PSX,CTRA,MRO,BKR,ETR,KMI,SO,XEL,SLB,WEC,NI,DVN
CMG,EXR,YUM,DPZ,DRI,MCD,CZR,MGM,PSA,AVB,ZION,ATO,MOH,AWK,ED,SRE,ALK,NFLX,KIM,VICI,MAA
